date_created,name,therapy,group_,type,acq_mrp_revenue,rep_mrp_revenue,acq_item_discount,rep_item_discount,acq_listing_discount_uc,rep_listing_discount_uc,acq_gross_revenue,rep_gross_revenue,acq_net_revenue,rep_net_revenue,acq_quantity,rep_quantity,acq_cogs,rep_cogs,acq_logs,rep_logs,hct_acq_final_spend,hct_repeat_final_spend,doc_new_spend,doc_rep_spend,acq_influencer_spend,repeat_influencer_spend,acq_content_marketing_spend,repeat_content_marketing_spend,FB_Acq_Spend,FB_Repeat_Spend,Aff_New_Spend,Aff_Repeat_Spend,Partnership_New_spend,Partnership_Repeat_spend,acq_non_working_spend,repeat_non_working_spend,google_acq_spend,google_repeat_spend,crm_new_spend,crm_repeat_spend
7/15/2023,KAPIVA HIMALAYA SHILAJIT 20 GRMS_UMA,Mens Health,HPC,Ingestibles,812458,317788,29943.81,11730.52,260567.46,106414.37,462203.07,165014.11,348620.1767,121610.6862,438,164,87416.04,32731.12,16058.11803,5178.036312,16582.96402,11904.76652,1530.452958,259.1257546,0,0,0,0,193636.8,48409.2,17522.09171,4806.561365,14474.2355,3201.9048,7952,1988,38661.52,9665.38,0,1446.876813
7/15/2023,KAPIVA HIM FOODS SHILAJIT GOLD RESIN - 20G,Mens Health,HPC,Ingestibles,304031,221277,18037,14885,64343,54066,204361,143713,151321.51,113518.05,140,109,35435.4,27588.99,4613.111462,2784.105282,6662.087701,6124.0523,343.7716898,929.1938266,0,0,0,0,69626.4,17406.6,9313.390293,3137.222957,3829.137,1181.61305,14145.6,3536.4,24823.36,6205.84,1569.882523,0
7/15/2023,KAPIVA HIMALAYA SHILAJIT 30 GRAMS,Mens Health,HPC,Ingestibles,102851,18891,4165,648,33150,6863,56453,10530,42424.76,8839.05,39,8,10733.97,2201.84,1745.352,313.8668,0,0,589.7909705,0,0,0,0,0,0,0,1996.525936,207.5743673,1644.4855,0,0,0,0,0,0,0
7/15/2023,KAPIVA HIMALAYA SHILAJIT 10 GRMS_UMA,Mens Health,HPC,Ingestibles,18377,2397,429,39,0,0,17948,2358,11005.71,2245.71,15,3,1802.55,360.51,1016,112.56,0,0,218.1680476,0,0,0,0,0,0,0,804.2412732,139.7235892,0,0,0,0,0,0,0,0
7/15/2023,KAPIVA TB - 60 CAPS,Mens Health,HPC,Ingestibles,7191,5593,430,372,640,861,5969,4073,4751.77,3179.45,8,6,1134.8,851.1,186.7666667,199.9833333,0,0,196.3239335,0,0,0,0,0,0,0,465.6869623,0,0,0,0,0,0,0,0,442.5444727
7/15/2023,KAPIVA HFE - 60 CAPS,Mens Health,HPC,Ingestibles,11186,17578,487,1184,3565,5751,6133,9989,4229.47,8075.92,11,20,1794.21,3262.2,230.8316667,433.9136667,0,0,0,227.451792,0,0,0,0,0,0,419.8702593,268.7798867,611.24045,0,0,0,0,0,0,0
7/15/2023,KAPIVA VEGAN PROTEIN - CHOCOLATE 1 KG_2249,Mens Health,HPC,Ingestibles,8996,4498,461,0,0,1040,7680,3121,3421.19,1024.58,2,1,1191,595.5,575.688,381.1686154,0,0,0,0,0,0,0,0,0,0,371.6052473,0,0,0,0,0,0,0,0,0
7/15/2023,KAPIVA ST- 60 CAPS,Mens Health,HPC,Ingestibles,3995,5593,269,209,1470,1761,2256,3524,2014.29,3234.84,5,7,572,800.8,83.15466667,136.0233333,0,0,0,141.1675715,0,0,0,0,0,0,147.7677432,254.7900537,0,0,0,0,0,0,0,1485.97502
7/15/2023,KAPIVA VIGOR MAX JUICE 1 L,Mens Health,HPC,Ingestibles,5000,10500,261.09,1036.3,691.29,1328.14,3483.28,8135.56,1828.23,7263.860002,6,21,461.88,1616.58,709.38,1325.601097,0,0,0,330.6652159,0,0,0,0,0,0,114.0329925,558.0199482,235.11435,301.6756,0,0,0,0,0,0
7/15/2023,KAPIVA VEGAN PROTEIN MALE BANANA 1 KG,Mens Health,HPC,Ingestibles,2249,6747,161,219,560,2358,1528,4170,1294.92,3533.900001,1,3,591.5,1774.5,77.25,279.3793846,0,0,0,0,0,0,0,0,0,0,267.2060745,0,0,0,0,0,0,0,0,0
